"","P_CODE","REEF","SITE_NO","TRANSECT_NO","LATITUDE","LONGITUDE","REPORT_YEAR","DATE","fYEAR","fDEPTH","REEF_ZONE","fGROUP","GROUP_DESC","COUNT","TOTAL","PERC_COVER","ZONE_DEPTH","tier4","tier5"
"69","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",732,2550,0.287058823529412,"_.9",1819,10614
"70","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",272,2150,0.126511627906977,"_.9",1819,10614
"71","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",472,2550,0.185098039215686,"_.9",1819,10614
"72","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",562,2650,0.212075471698113,"_.9",1819,10614
"73","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1608,5550,0.28972972972973,"_.9",1819,10614
"74","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",282,2450,0.115102040816327,"_.9",1819,10614
"75","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",760,5200,0.146153846153846,"_.9",1819,10614
"76","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",585,3205,0.182527301092044,"_.9",1819,10614
"77","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",376,1530,0.245751633986928,"_.7",1819,10614
"78","1","Agincourt Reef No.1 Site 2","290","1",-16.0418166666667,145.87015,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",596,3091,0.192817858298285,"_.9",1819,10614
"79","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",664,2500,0.2656,"_.9",1819,10614
"80","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",620,2650,0.233962264150943,"_.9",1819,10614
"81","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1295,5150,0.251456310679612,"_.9",1819,10614
"82","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",579,2700,0.214444444444444,"_.9",1819,10614
"83","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",254,2200,0.115454545454545,"_.9",1819,10614
"84","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",443,2650,0.167169811320755,"_.9",1819,10614
"85","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",486,2600,0.186923076923077,"_.9",1819,10614
"86","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1195,5700,0.209649122807018,"_.9",1819,10614
"87","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",274,3100,0.0883870967741936,"_.9",1819,10614
"88","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",512,5600,0.0914285714285714,"_.9",1819,10614
"89","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",541,3500,0.154571428571429,"_.9",1819,10614
"90","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",792,3535,0.224045261669024,"_.7",1819,10614
"91","1","Agincourt Reef No.1 Site 2","290","2",-16.0418166666667,145.87015,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",507,3100,0.163548387096774,"_.9",1819,10614
"92","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",694,2700,0.257037037037037,"_.9",1819,10614
"93","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",709,2650,0.267547169811321,"_.9",1819,10614
"94","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1477,5550,0.266126126126126,"_.9",1819,10614
"95","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",534,2750,0.194181818181818,"_.9",1819,10614
"96","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",188,2400,0.0783333333333333,"_.9",1819,10614
"97","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",361,2550,0.14156862745098,"_.9",1819,10614
"98","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",319,2650,0.120377358490566,"_.9",1819,10614
"99","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1179,5850,0.201538461538462,"_.9",1819,10614
"100","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",471,3600,0.130833333333333,"_.9",1819,10614
"101","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",718,5900,0.121694915254237,"_.9",1819,10614
"102","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",700,3300,0.212121212121212,"_.9",1819,10614
"103","1","Agincourt Reef No.1 Site 2","290","3",-16.0418166666667,145.87015,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",697,3050,0.228524590163934,"_.9",1819,10614
"104","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",691,2550,0.270980392156863,"_.9",1819,10614
"105","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",638,2550,0.250196078431373,"_.9",1819,10614
"106","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1572,5150,0.305242718446602,"_.9",1819,10614
"107","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",772,2700,0.285925925925926,"_.9",1819,10614
